	vocation	link	min_salary	max_salary	currency	site_from
424	Web-программист Python (Middle/Senior)	https://irkutsk.hh.ru/vacancy/47228261?from=vacancy_search_list&query=Python	200000	200000	руб.	https://hh.ru
425	Data Scientist	https://irkutsk.hh.ru/vacancy/47377173?from=vacancy_search_list&query=Python				https://hh.ru
426	Junior Data Engineer (Python)	https://irkutsk.hh.ru/vacancy/49832475?from=vacancy_search_list&query=Python	150000	150000	руб.	https://hh.ru
427	Python разработчик junior	https://irkutsk.hh.ru/vacancy/49706812?from=vacancy_search_list&query=Python	35000	35000	руб.	https://hh.ru
428	Junior разработчик Python Django	https://irkutsk.hh.ru/vacancy/49842709?from=vacancy_search_list&query=Python	50000	50000	руб.	https://hh.ru
429	Junior backend-разработчик (python)	https://irkutsk.hh.ru/vacancy/49217698?from=vacancy_search_list&query=Python	80000	80000	руб.	https://hh.ru
430	Python Developer (стажер)	https://irkutsk.hh.ru/vacancy/49824875?from=vacancy_search_list&query=Python				https://hh.ru
431	Junior разработчик Python Django	https://irkutsk.hh.ru/vacancy/49740498?from=vacancy_search_list&query=Python	40000	40000	руб.	https://hh.ru
432	Junior Python разработчик	https://irkutsk.hh.ru/vacancy/49789667?from=vacancy_search_list&query=Python	30000	30000	руб.	https://hh.ru
433	Python Developer	https://irkutsk.hh.ru/vacancy/49478393?from=vacancy_search_list&query=Python	150000	150000	руб.	https://hh.ru
434	Разработчик Solidity/Разработчик Rust/Разработчик Go/Разработчтик python(удаленно)	https://irkutsk.hh.ru/vacancy/48457284?from=vacancy_search_list&query=Python	600000	600000	руб.	https://hh.ru
435	Junior Python разработчик	https://irkutsk.hh.ru/vacancy/48969346?from=vacancy_search_list&query=Python				https://hh.ru
436	Junior Python Developer	https://irkutsk.hh.ru/vacancy/49783919?from=vacancy_search_list&query=Python				https://hh.ru
437	Python разработчик	https://irkutsk.hh.ru/vacancy/49590587?from=vacancy_search_list&query=Python	380000	380000	руб.	https://hh.ru
438	Программист Python (телеграм бот)	https://irkutsk.hh.ru/vacancy/49805012?from=vacancy_search_list&query=Python	30000	30000	руб.	https://hh.ru
439	Разработчик Python	https://irkutsk.hh.ru/vacancy/49793402?from=vacancy_search_list&query=Python	100000	100000	руб.	https://hh.ru
440	Разработчик Python	https://irkutsk.hh.ru/vacancy/49041173?from=vacancy_search_list&query=Python	187000	187000	руб.	https://hh.ru
441	DevOps инженер (Bash, Python, AWS/ GCP)	https://irkutsk.hh.ru/vacancy/49041322?from=vacancy_search_list&query=Python	160000	160000	руб.	https://hh.ru
442	Data Engineer	https://irkutsk.hh.ru/vacancy/49758597?from=vacancy_search_list&query=Python				https://hh.ru
443	Data scientist (Computer Vision)	https://irkutsk.hh.ru/vacancy/49711022?from=vacancy_search_list&query=Python	230000	230000	руб.	https://hh.ru
444	Web-программист Python (Middle/Senior)	https://irkutsk.hh.ru/vacancy/47228261?from=vacancy_search_list&query=Python	200000	200000	руб.	https://hh.ru
445	Data Scientist	https://irkutsk.hh.ru/vacancy/47377173?from=vacancy_search_list&query=Python				https://hh.ru
446	Junior Data Engineer (Python)	https://irkutsk.hh.ru/vacancy/49832475?from=vacancy_search_list&query=Python	150000	150000	руб.	https://hh.ru
447	Python разработчик junior	https://irkutsk.hh.ru/vacancy/49706812?from=vacancy_search_list&query=Python	35000	35000	руб.	https://hh.ru
448	Junior разработчик Python Django	https://irkutsk.hh.ru/vacancy/49842709?from=vacancy_search_list&query=Python	50000	50000	руб.	https://hh.ru
449	Junior backend-разработчик (python)	https://irkutsk.hh.ru/vacancy/49217698?from=vacancy_search_list&query=Python	80000	80000	руб.	https://hh.ru
450	Python Developer (стажер)	https://irkutsk.hh.ru/vacancy/49824875?from=vacancy_search_list&query=Python				https://hh.ru
451	Junior разработчик Python Django	https://irkutsk.hh.ru/vacancy/49740498?from=vacancy_search_list&query=Python	40000	40000	руб.	https://hh.ru
452	Junior Python разработчик	https://irkutsk.hh.ru/vacancy/49789667?from=vacancy_search_list&query=Python	30000	30000	руб.	https://hh.ru
453	Python Developer	https://irkutsk.hh.ru/vacancy/49478393?from=vacancy_search_list&query=Python	150000	150000	руб.	https://hh.ru
454	Разработчик Solidity/Разработчик Rust/Разработчик Go/Разработчтик python(удаленно)	https://irkutsk.hh.ru/vacancy/48457284?from=vacancy_search_list&query=Python	600000	600000	руб.	https://hh.ru
455	Junior Python разработчик	https://irkutsk.hh.ru/vacancy/48969346?from=vacancy_search_list&query=Python				https://hh.ru
456	Junior Python Developer	https://irkutsk.hh.ru/vacancy/49783919?from=vacancy_search_list&query=Python				https://hh.ru
457	Python разработчик	https://irkutsk.hh.ru/vacancy/49590587?from=vacancy_search_list&query=Python	380000	380000	руб.	https://hh.ru
458	Программист Python (телеграм бот)	https://irkutsk.hh.ru/vacancy/49805012?from=vacancy_search_list&query=Python	30000	30000	руб.	https://hh.ru
459	Разработчик Python	https://irkutsk.hh.ru/vacancy/49793402?from=vacancy_search_list&query=Python	100000	100000	руб.	https://hh.ru
460	Разработчик Python	https://irkutsk.hh.ru/vacancy/49041173?from=vacancy_search_list&query=Python	187000	187000	руб.	https://hh.ru
461	DevOps инженер (Bash, Python, AWS/ GCP)	https://irkutsk.hh.ru/vacancy/49041322?from=vacancy_search_list&query=Python	160000	160000	руб.	https://hh.ru
462	Data Engineer	https://irkutsk.hh.ru/vacancy/49758597?from=vacancy_search_list&query=Python				https://hh.ru
463	Data scientist (Computer Vision)	https://irkutsk.hh.ru/vacancy/49711022?from=vacancy_search_list&query=Python	230000	230000	руб.	https://hh.ru
464	Web-программист Python (Middle/Senior)	https://irkutsk.hh.ru/vacancy/47228261?from=vacancy_search_list&query=Python	200000	200000	руб.	https://hh.ru
465	Data Scientist	https://irkutsk.hh.ru/vacancy/47377173?from=vacancy_search_list&query=Python				https://hh.ru
466	Junior Data Engineer (Python)	https://irkutsk.hh.ru/vacancy/49832475?from=vacancy_search_list&query=Python	150000	150000	руб.	https://hh.ru
